                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0988,                 5.5096,                 1.4226,                0.17469,                0.48555,                0.13179,                0.05581,                 2.2042,                 133.79,                  1.048,             0.00032787,             0.00032787,             0.00032787
                      2,                 2.2363,                 2.1259,                 1.0406,                0.20688,                0.67214,                0.19643,                0.08095,                 2.0852,                    inf,                0.99794,             0.00064811,             0.00064811,             0.00064811
                      3,                  2.142,                 1.8008,                 1.0102,                0.59816,                0.64088,                0.58674,                0.22344,                 2.1329,                 5.4505,                 1.0251,             0.00095515,             0.00095515,             0.00095515
                      4,                 2.0326,                 1.4838,                 1.0006,                0.90728,                0.75294,                0.83853,                0.35684,                 2.0173,                 1.3876,                0.99226,              0.0009406,              0.0009406,              0.0009406
                      5,                 2.0541,                 1.3603,                0.99605,                0.79629,                0.75867,                 0.7984,                0.32042,                 2.0902,                 1.2863,                 1.0126,              0.0009208,              0.0009208,              0.0009208
                      6,                  1.923,                 1.2271,                0.97027,                0.81244,                0.83586,                0.85575,                0.39404,                 1.8434,                 1.1877,                0.94916,               0.000901,               0.000901,               0.000901
                      7,                 1.9127,                 1.1731,                 0.9748,                0.85316,                0.81504,                0.83854,                0.35752,                 1.9249,                  1.125,                0.96531,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.9031,                 1.1637,                0.97418,                0.90196,                0.80416,                0.85949,                0.38739,                 1.8969,                 1.1259,                0.96304,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.8761,                 1.1763,                0.95716,                0.93876,                0.80023,                 0.8557,                0.38192,                  1.864,                 1.0925,                0.95076,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.8046,                 1.0631,                 0.9369,                 0.9154,                0.81896,                0.86323,                0.38394,                  1.899,                 1.0246,                0.95564,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.8427,                 1.0299,                0.93716,                0.89616,                0.81724,                0.83968,                0.36358,                 1.9068,                 1.0342,                 0.9456,               0.000802,               0.000802,               0.000802
                     12,                 1.7898,                  1.008,                0.94085,                0.87872,                0.82955,                0.88498,                0.40485,                 1.8718,                 1.0795,                0.94323,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.7424,                0.97068,                0.93281,                0.93283,                0.84448,                0.88928,                0.43553,                 1.7935,                0.94547,                0.93973,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.6864,                0.91689,                0.92638,                0.90356,                0.82983,                0.88638,                0.43037,                 1.8071,                0.96751,                0.94115,              0.0007426,              0.0007426,              0.0007426
