                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2546,                  27.57,                 2.2224,                      0,                      0,                      0,                      0,                 3.2282,                 14.618,                 1.5616,                0.00015,                0.00015,                0.00015
                      2,                  3.748,                 15.858,                 1.6231,                      0,                      0,                      0,                      0,                 2.9441,                 10.548,                 1.2684,             0.00029772,             0.00029772,             0.00029772
                      3,                 3.3178,                 11.682,                 1.3012,                      0,                      0,                      0,                      0,                 3.1257,                 8.3956,                 1.2942,             0.00043278,             0.00043278,             0.00043278
                      4,                 3.1305,                 9.8801,                 1.2698,                      0,                      0,                      0,                      0,                 3.0892,                 7.1227,                 1.2674,             0.00055516,             0.00055516,             0.00055516
                      5,                 2.9934,                 9.1321,                 1.2241,                 0.0001,                0.03472,                   0.01,                0.00491,                 2.8385,                 5.9304,                 1.2253,             0.00066486,             0.00066486,             0.00066486
                      6,                 2.9819,                  8.527,                 1.1925,                0.00036,                0.12239,                0.02535,                0.01264,                 2.8613,                 5.5187,                  1.223,              0.0007619,              0.0007619,              0.0007619
                      7,                 2.9344,                 7.9976,                 1.1871,                0.71512,                0.02778,                0.03084,                0.01219,                 2.7426,                 5.0364,                 1.1932,              0.0007624,              0.0007624,              0.0007624
                      8,                 2.8605,                 7.3802,                 1.1654,                0.57298,                0.07361,                0.05619,                0.02203,                 2.8255,                 4.6284,                 1.2395,              0.0007228,              0.0007228,              0.0007228
                      9,                 2.7434,                 6.6109,                 1.1552,                0.06717,                0.07624,                0.05135,                 0.0232,                 2.7274,                 4.4739,                 1.1893,              0.0006832,              0.0006832,              0.0006832
                     10,                 2.6197,                  6.135,                 1.1102,                0.27326,                0.14514,                0.07755,                0.03121,                 2.4178,                 5.1449,                 1.1178,              0.0006436,              0.0006436,              0.0006436
                     11,                  2.568,                 5.7571,                 1.0973,                0.25042,                0.07363,                0.06906,                0.02962,                 2.4874,                 4.2443,                 1.1248,               0.000604,               0.000604,               0.000604
                     12,                 2.5376,                 5.6444,                 1.1018,                0.13161,                0.11855,                 0.0954,                0.04355,                 2.4196,                 3.8785,                 1.1102,              0.0005644,              0.0005644,              0.0005644
                     13,                 2.4359,                  5.204,                 1.0831,                0.10512,                0.13342,                0.08151,                0.03962,                 2.3934,                 3.7982,                 1.1293,              0.0005248,              0.0005248,              0.0005248
                     14,                 2.5151,                 5.0161,                 1.0788,                0.05801,                0.09712,                0.07225,                0.03402,                 2.3361,                 3.8661,                 1.0882,              0.0004852,              0.0004852,              0.0004852
                     15,                 2.3597,                  4.821,                 1.0385,                0.11138,                0.12654,                0.09006,                0.03569,                 2.4693,                 3.9139,                 1.0873,              0.0004456,              0.0004456,              0.0004456
                     16,                  2.277,                 5.0947,                 1.0852,                0.21928,                0.12178,                0.10312,                0.04107,                 2.2862,                 3.8516,                 1.0668,               0.000406,               0.000406,               0.000406
                     17,                 2.2814,                 4.8964,                  1.083,                 0.1086,                0.15915,                0.09732,                0.03978,                 2.4135,                 3.8023,                 1.0904,              0.0003664,              0.0003664,              0.0003664
                     18,                  2.162,                  4.682,                 1.0609,                0.14885,                0.25572,                0.11472,                0.05229,                 2.2936,                 3.6419,                 1.0634,              0.0003268,              0.0003268,              0.0003268
                     19,                 2.1216,                 4.5911,                 1.0452,                0.17556,                0.25572,                0.13241,                0.06078,                 2.1754,                 3.5667,                 1.0538,              0.0002872,              0.0002872,              0.0002872
                     20,                  2.034,                 4.0887,                 1.0336,                0.19756,                0.29697,                0.14193,                0.06922,                 2.1856,                 3.4315,                 1.0602,              0.0002476,              0.0002476,              0.0002476
                     21,                 2.0848,                 4.1838,                 1.0117,                0.14732,                0.27124,                0.12038,                0.05815,                 2.1852,                   3.38,                 1.0706,               0.000208,               0.000208,               0.000208
                     22,                 1.9763,                 3.9071,                 1.0083,                0.18132,                0.24044,                0.13818,                0.06593,                 2.2338,                 3.3267,                 1.0741,              0.0001684,              0.0001684,              0.0001684
                     23,                 2.0205,                 3.9147,                 1.0155,                0.17054,                0.26627,                0.12703,                0.06162,                 2.1575,                 3.3256,                 1.0484,              0.0001288,              0.0001288,              0.0001288
                     24,                 1.9943,                 4.0392,                0.98792,                0.13602,                0.24233,                0.12532,                0.06016,                 2.1806,                 3.3064,                  1.049,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                 2.0118,                 3.9505,                 1.0196,                0.14129,                0.23419,                0.12647,                0.06026,                 2.1383,                 3.2614,                 1.0441,               4.96e-05,               4.96e-05,               4.96e-05
